datum,titel_kurz_d,br_pos,annahme
1875-05-23,Gesetz betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe,1,1
1875-05-23,Gesetz über die politische Stimmberechtigung der Schweizerbürger,1,0
1876-04-23,Banknotengesetz,1,0
1876-07-09,Gesetz betreffend die Militärpflichtersatzsteuer,1,0
1877-10-21,Fabrikgesetz,1,1
1877-10-21,Gesetz betreffend den Militärpflichtersatz,1,0
1877-10-21,Politische Rechte der Niedergelassenen und Aufenthalter,1,0
1879-01-19,Subvention der Alpenbahnen,1,1
1882-07-30,Epidemiengesetz,1,0
1882-11-26,Schaffung eines Erziehungssekretärs des Bundes,1,0
1884-05-11,Organisation des Justiz- und Polizeidepartements,1,0
1884-05-11,Patenttaxen der Handelsreisenden,1,0
1884-05-11,Bundesstrafrecht (Stabio-Artikel),1,0
1884-05-11,Beitrag an die Gesandtschaft in Washington,1,0
1887-05-15,Bundesgesetz betreffend gebrannte Wasser,1,1
1889-11-17,Gesetz über Schuldbetreibung und Konkurs,1,1
1891-03-15,Pensionsgesetz,1,0
1891-10-18,Zolltarifgesetz,1,1
1891-12-06,Rückkauf der Centralbahn,1,0
1894-11-04,Zollinitiative,0,0
1895-02-03,Gesandtschaftsgesetz,1,0
1896-10-04,Viehhandelsgesetz,1,0
1896-10-04,Gesetz über das Rechnungswesen der Eisenbahnen,1,1
1896-10-04,Disciplinarstrafordnung der Armee,1,0
1897-02-28,Gesetz über die Errichtung der schweizerischen Bundesbank,1,0
1898-02-20,Gesetz über die schweizerischen Bundesbahnen,1,1
1900-05-20,"Gesetz zur Kranken-, Unfall- und Militärversicherung",1,0
1900-11-04,Initiative «für die Proporzwahl des Nationalrates»,0,0
1900-11-04,Initiative für die Volkswahl des Bundesrates,0,0
1903-03-15,Zolltarifgesetz,1,1
1903-10-25,Bundesstrafrecht (Anstiftung Militärpflichtiger zu Verbrechen),1,0
1903-10-25,Initiative «für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung»,0,0
1906-06-10,Lebensmittelgesetz,1,1
1907-11-03,Militärorganisation der schweizerischen Eidgenossenschaft,1,1
1908-07-05,Initiative «für ein Absinthverbot»,0,1
1910-10-23,Initiative «für die Proporzwahl des Nationalrates»,0,0
1912-02-04,Kranken- und Unfallversicherungsgesetz,1,1
1918-06-02,Initiative für eine direkte Bundessteuer,0,0
1918-10-13,Initiative «für die Proporzwahl des Nationalrates»,0,1
1920-03-21,Gesetz zur Ordnung des Arbeitsverhältnisses,1,0
1920-03-21,Initiative für ein Verbot der Spielbanken,0,1
1920-10-31,Gesetz zur Arbeitszeit bei den Eisenbahnen,1,1
1921-01-30,Initiative für ein Staatsvertragsreferendum,0,1
1921-01-30,Initiative «für die Aufhebung der Militärjustiz»,0,0
1922-06-11,Initiative «betreffend die Erlangung des Schweizerbürgerrechts»,0,0
1922-06-11,Initiative «betreffend die Ausweisung von Ausländern»,0,0
1922-09-24,Strafrechtsrevision (innere Sicherheit und bedingter Strafvollzug),1,0
1922-12-03,Initiative für eine einmalige Vermögensabgabe,0,0
1923-02-18,Schutzhaft-Initiative,0,0
1923-02-18,Abkommen mit Frankreich betreffend Hochsavoyen,1,0
1923-04-15,Zollinitiative,0,0
1924-02-17,Fabrikgesetz,1,0
1925-05-24,Initiative für eine AHV/IV,0,0
1925-10-25,Beschluss betreffend Aufenthalt und Niederlassung der Ausländer,1,1
1927-05-15,Gesetz über den Automobil- und Fahrradverkehr,1,0
1928-12-02,Initiative für die Erhaltung der Kursäle,1,1
1929-03-03,Initiative zur Getreideversorgung,0,0
1929-03-03,Zolltarifgesetz,1,1
1929-05-12,Initiative «betreffend die Gesetzgebung über den Strassenverkehr»,0,0
1929-05-12,Initiative «für ein Branntweinverbot»,0,0
1931-12-06,Gesetz über die AHV,1,0
1931-12-06,Gesetz über die Besteuerung des Tabaks,1,0
1933-05-28,Gesetz zur Herabsetzung der Löhne des Bundespersonals,1,0
1934-03-11,Gesetz über den Schutz der öffentlichen Ordnung,1,0
1935-02-24,Neuordnung der militärischen Ausbildung,1,1
1935-05-05,Verkehrsteilungsgesetz,1,0
1935-06-02,Initiative «zur Bekämpfung der Wirtschaftskrise»,0,0
1937-11-28,Initiative «für ein Verbot der Freimaurerei»,0,0
1938-02-20,Anerkennung des Rätoromanischen als Nationalsprache,1,1
1938-02-20,Initiative zur Beschränkung der Dringlichkeitsklausel,0,0
1938-02-20,Initiative «Private Rüstungsindustrie»,0,0
1938-07-03,Schweizerisches Strafgesetzbuch,1,1
1939-01-22,Initiative für eine Erweiterung der Verfassungsgerichtsbarkeit,0,0
1939-12-03,Dienstverhältnis und Versicherung des Bundespersonals,1,0
1940-12-01,Einführung des obligatorischen militärischen Vorunterrichts,1,0
