datum,titel_kurz_d,inserate_ja,inserate_nein,annahme
2013-03-03 09:00:00,Bundesbeschluss über die Familienpolitik,4,70,0
2013-03-03 10:00:00,Initiative «gegen die Abzockerei»,68,686,1
2013-03-03 11:00:00,Raumplanungsgesetz,648,612,1
2013-06-09 12:00:00,Initiative «Volkswahl des Bundesrates»,0,0,0
2013-06-09 13:00:00,Asylgesetz,0,12,1
2013-09-22 14:00:00,Initiative zur Aufhebung der Wehrpflicht,1,163,0
2013-09-22 15:00:00,Epidemiengesetz,24,12,1
2013-09-22 16:00:00,Arbeitsgesetz (Öffnungszeiten von Tankstellenshops),292,243,1
2013-11-24 17:00:00,Initiative «1:12 – Für gerechte Löhne»,42,672,0
2013-11-24 18:00:00,«Familieninitiative»,19,19,0
2013-11-24 19:00:00,Änderung des Nationalstrassenabgabegesetzes (Autobahnvignette),50,201,0
2014-02-09 20:00:00,Finanzierung und Ausbau der Eisenbahninfrastruktur (FABI),361,24,1
2014-02-09 21:00:00,Initiative «Abtreibungsfinanzierung ist Privatsache»,16,21,0
2014-02-09 22:00:00,Initiative «Gegen Masseneinwanderung»,376,1133,1
2014-05-18 23:00:00,Bundesbeschluss über die medizinische Grundversorgung,76,7,1
2014-05-18 00:00:00,Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,19,3,1
2014-05-18 01:00:00,«Mindestlohn-Initiative»,319,1011,0
2014-05-18 02:00:00,Fonds zur Beschaffung des Kampfflugzeugs Gripen,565,57,0
2014-09-28 03:00:00,Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»,229,14,0
2014-09-28 04:00:00,Initiative «Für eine öffentliche Krankenkasse»,58,552,0
2014-11-30 05:00:00,Initiative zur Abschaffung der Pauschalbesteuerung,17,511,0
2014-11-30 06:00:00,Initiative «Stopp der Überbevölkerung – zur Sicherung der natürlichen Lebensgrundlagen»,63,596,0
2014-11-30 07:00:00,Gold-Initiative,2,176,0
2015-03-08 08:00:00,Initiative für steuerfreie Kinderzulagen,39,4,0
