datum,titel_kurz_d,p_svp,annahme
1848-09-12 00:00:00,Bundesverfassung der schweizerischen Eidgenossenschaft,9999,1
1866-01-14 01:00:00,Mass und Gewicht,9999,0
1866-01-14 02:00:00,Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung,9999,1
1866-01-14 03:00:00,Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten,9999,0
1866-01-14 04:00:00,Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen,9999,0
1866-01-14 05:00:00,Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten,9999,0
1866-01-14 06:00:00,Glaubens- und Kultusfreiheit,9999,0
1866-01-14 07:00:00,Ausschliessung einzelner Strafarten,9999,0
1866-01-14 08:00:00,Schutz des geistigen Eigentums,9999,0
1866-01-14 09:00:00,Verbot der Lotterie und Hasardspiele,9999,0
1872-05-12 10:00:00,Bundesverfassung (Totalrevision),9999,0
1874-04-19 11:00:00,Bundesverfassung (Totalrevision),9999,1
1875-05-23 12:00:00,Gesetz betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe,9999,1
1875-05-23 13:00:00,Gesetz über die politische Stimmberechtigung der Schweizerbürger,9999,0
1876-04-23 14:00:00,Banknotengesetz,9999,0
1876-07-09 15:00:00,Gesetz betreffend die Militärpflichtersatzsteuer,9999,0
1877-10-21 16:00:00,Fabrikgesetz,9999,1
1877-10-21 17:00:00,Gesetz betreffend den Militärpflichtersatz,9999,0
1877-10-21 18:00:00,Politische Rechte der Niedergelassenen und Aufenthalter,9999,0
1879-01-19 19:00:00,Subvention der Alpenbahnen,9999,1
1879-05-18 20:00:00,Wiedereinführung der Todesstrafe,9999,1
1880-10-31 21:00:00,Banknotenmonopol,9999,0
1882-07-30 22:00:00,Bundesbeschluss betreffend den Erfindungsschutz,9999,0
1882-07-30 23:00:00,Epidemiengesetz,9999,0
1882-11-26 00:00:00,Schaffung eines Erziehungssekretärs des Bundes,9999,0
1884-05-11 01:00:00,Organisation des Justiz- und Polizeidepartements,9999,0
1884-05-11 02:00:00,Patenttaxen der Handelsreisenden,9999,0
1884-05-11 03:00:00,Bundesstrafrecht (Stabio-Artikel),9999,0
1884-05-11 04:00:00,Beitrag an die Gesandtschaft in Washington,9999,0
1885-10-25 05:00:00,Bundeskompetenz zur Regelung des Alkoholwesens,9999,1
1887-05-15 06:00:00,Bundesgesetz betreffend gebrannte Wasser,9999,1
1887-07-10 07:00:00,Bundeskompetenz für den Erfindungsschutz,9999,1
1889-11-17 08:00:00,Gesetz über Schuldbetreibung und Konkurs,9999,1
1890-10-26 09:00:00,Gesetzgebungsrecht über die Unfall- und Krankenversicherung,9999,1
1891-03-15 10:00:00,Pensionsgesetz,9999,0
1891-07-05 11:00:00,Einführung der Volksinitiative zur Teilrevision der Bundesverfassung,9999,1
1891-10-18 12:00:00,Banknotenmonopol,9999,1
1891-10-18 13:00:00,Zolltarifgesetz,9999,1
1891-12-06 14:00:00,Rückkauf der Centralbahn,9999,0
1893-08-20 15:00:00,Initiative für ein Schächtverbot,9999,1
1894-03-04 16:00:00,Bundeskompetenz für das Gewerbewesen,9999,0
1894-06-03 17:00:00,Initiative «zur Gewährleistung des Rechts auf Arbeit»,9999,0
1894-11-04 18:00:00,Zollinitiative,9999,0
1895-02-03 19:00:00,Gesandtschaftsgesetz,9999,0
1895-09-29 20:00:00,Zündhölzchenmonopol,9999,0
1895-11-03 21:00:00,Revision der Verfassungsartikel zum Militär,9999,0
1896-10-04 22:00:00,Viehhandelsgesetz,9999,0
1896-10-04 23:00:00,Gesetz über das Rechnungswesen der Eisenbahnen,9999,1
1896-10-04 00:00:00,Disciplinarstrafordnung der Armee,9999,0
1897-02-28 01:00:00,Gesetz über die Errichtung der schweizerischen Bundesbank,9999,0
1897-07-11 02:00:00,Bundeskompetenz bei der Wasserbau- und Forstpolizei,9999,1
1897-07-11 03:00:00,Bundeskompetenz für die Lebensmittelpolizei,9999,1
1898-02-20 04:00:00,Gesetz über die schweizerischen Bundesbahnen,9999,1
1898-11-13 05:00:00,Vereinheitlichung des Zivilrechts,9999,1
1898-11-13 06:00:00,Vereinheitlichung des Strafrechts,9999,1
1900-05-20 07:00:00,"Gesetz zur Kranken-, Unfall- und Militärversicherung",9999,0
1900-11-04 08:00:00,Initiative «für die Proporzwahl des Nationalrates»,9999,0
1900-11-04 09:00:00,Initiative für die Volkswahl des Bundesrates,9999,0
1902-11-23 10:00:00,Unterstützung der Primarschule durch den Bund,9999,1
1903-03-15 11:00:00,Zolltarifgesetz,9999,1
1903-10-25 12:00:00,Bundesstrafrecht (Anstiftung Militärpflichtiger zu Verbrechen),9999,0
1903-10-25 13:00:00,Initiative «für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung»,9999,0
1903-10-25 14:00:00,Artikel über die Regulierung des Alkoholhandels,9999,0
1905-03-19 15:00:00,Ausdehnung des Erfinderschutzes,9999,1
1906-06-10 16:00:00,Lebensmittelgesetz,9999,1
1907-11-03 17:00:00,Militärorganisation der schweizerischen Eidgenossenschaft,9999,1
1908-07-05 18:00:00,Verfassungsartikel zur Gesetzgebung über das Gewerbewesen,9999,1
1908-07-05 19:00:00,Initiative «für ein Absinthverbot»,9999,1
1908-10-25 20:00:00,Verfassungsartikel über die Wasserkraft und Elektrizität,9999,1
1910-10-23 21:00:00,Initiative «für die Proporzwahl des Nationalrates»,9999,0
1912-02-04 22:00:00,Kranken- und Unfallversicherungsgesetz,9999,1
1913-05-04 23:00:00,Bekämpfung menschlicher und tierischer Krankheiten,9999,1
1914-10-25 00:00:00,Schaffung eines Verwaltungsgerichts,9999,1
1915-06-06 01:00:00,Verfassungsgrundlage für eine einmalige Kriegssteuer,9999,1
1917-05-13 02:00:00,Stempelabgaben,9999,1
1918-06-02 03:00:00,Initiative für eine direkte Bundessteuer,9999,0
1918-10-13 04:00:00,Initiative «für die Proporzwahl des Nationalrates»,9999,1
1919-05-04 05:00:00,Artikel über die Schifffahrt,9999,1
1919-05-04 06:00:00,Verfassungsgrundlage für eine ausserordentliche Kriegssteuer,9999,1
1919-08-10 07:00:00,Übergangsbestimmungen für vorgezogene Wahlen in den National- und Bundesrat,9999,1
1920-03-21 08:00:00,Gesetz zur Ordnung des Arbeitsverhältnisses,0,0
1920-03-21 09:00:00,Initiative für ein Verbot der Spielbanken,66,1
1920-03-21 10:00:00,Gegenentwurf zur Initiative für ein Verbot der Spielbanken,66,0
1920-05-16 11:00:00,Beitritt zum Völkerbund,1,1
1920-10-31 12:00:00,Gesetz zur Arbeitszeit bei den Eisenbahnen,0,1
1921-01-30 13:00:00,Initiative für ein Staatsvertragsreferendum,1,1
1921-01-30 14:00:00,Initiative «für die Aufhebung der Militärjustiz»,0,0
1921-05-22 15:00:00,Artikel über den Automobil- und Fahrradverkehr,1,1
1921-05-22 16:00:00,Artikel über die Luftschiffahrt,1,1
1922-06-11 17:00:00,Initiative «betreffend die Erlangung des Schweizerbürgerrechts»,0,0
1922-06-11 18:00:00,Initiative «betreffend die Ausweisung von Ausländern»,1,0
1922-06-11 19:00:00,Initiative «betreffend die Wählbarkeit der Bundesbeamten in den Nationalrat»,0,0
1922-09-24 20:00:00,Strafrechtsrevision (innere Sicherheit und bedingter Strafvollzug),1,0
1922-12-03 21:00:00,Initiative für eine einmalige Vermögensabgabe,0,0
1923-02-18 22:00:00,Schutzhaft-Initiative,0,0
